iterations,fitness,time,fevals
0,20.0,0.000993588,731
10,25.0,0.002157208,1347
20,25.0,0.013089804,1971
30,27.0,0.014614292,2595
40,29.0,0.018485056,3223
50,28.0,0.01957893,3854
60,32.0,0.020198612,4480
70,32.0,0.020798848,5113
80,32.0,0.021378434,5741
90,34.0,0.021961524,6371
100,34.0,0.02254948,6994
110,35.0,0.023129137,7626
120,36.0,0.023701173,8245
130,38.0,0.024514712,8879
140,37.0,0.025115649,9507
150,37.0,0.025712436,10147
160,38.0,0.026291119,10774
170,41.0,0.026871707,11402
180,39.0,0.029576549,12020
190,38.0,0.0301875,12658
200,39.0,0.030769547,13271
210,38.0,0.031480725,13900
220,39.0,0.032088944,14540
230,39.0,0.032806977,15185
240,39.0,0.033434027,15821
250,41.0,0.034146086,16453
260,40.0,0.03475827,17091
270,39.0,0.035954238,17722
280,41.0,0.037458147,18363
290,42.0,0.038787825,18990
300,40.0,0.04842816,19628
310,42.0,0.049039694,20260
320,44.0,0.049681,20886
330,49.0,0.050252306,21513
340,49.0,0.050865286,22137
350,49.0,0.051476833,22769
360,44.0,0.052103857,23395
370,45.0,0.052670906,24019
380,46.0,0.05329211,24641
390,50.0,0.053863173,25272
400,51.0,0.054978676,25919
410,50.0,0.055581438,26549
420,51.0,0.05617806,27174
430,50.0,0.056754819,27793
440,50.0,0.05733938,28417
450,50.0,0.058233925,29043
460,51.0,0.058816712,29678
470,51.0,0.059412252,30306
480,53.0,0.060000894,30938
490,51.0,0.060589312,31575
500,51.0,0.061214599,32212
510,51.0,0.061810727,32853
520,51.0,0.062477933,33495
530,52.0,0.063928808,34129
540,52.0,0.065273331,34756
550,52.0,0.066593704,35370
560,52.0,0.067791314,35997
570,52.0,0.069004377,36622
580,52.0,0.070287847,37266
590,53.0,0.071950291,37896
600,54.0,0.073623321,38527
610,55.0,0.074287312,39151
620,55.0,0.075152937,39790
630,55.0,0.075740168,40426
640,55.0,0.076331798,41055
650,55.0,0.076944706,41660
660,56.0,0.077549833,42293
670,56.0,0.089886436,42926
680,55.0,0.090487921,43551
690,55.0,0.091087035,44192
700,56.0,0.091675526,44827
710,57.0,0.104003093,45454
720,57.0,0.104751237,46098
730,57.0,0.105319764,46725
740,57.0,0.105935004,47367
750,57.0,0.106521192,47996
760,58.0,0.107133873,48615
770,57.0,0.107705509,49242
780,58.0,0.108335387,49876
790,57.0,0.108915958,50514
800,57.0,0.117547787,51156
810,57.0,0.11814194,51786
820,57.0,0.11870885,52408
830,58.0,0.119290335,53028
840,58.0,0.120651109,53658
850,56.0,0.121905839,54294
860,55.0,0.12308112,54921
870,56.0,0.130061897,55544
880,55.0,0.131425078,56172
890,56.0,0.132018961,56804
900,55.0,0.132646821,57439
910,55.0,0.133241492,58074
920,56.0,0.133846865,58704
930,56.0,0.134501084,59322
940,57.0,0.135120099,59957
950,58.0,0.135745481,60577
960,58.0,0.136350336,61197
970,58.0,0.137157123,61840
980,60.0,0.137734919,62469
990,58.0,0.138399845,63105
1000,58.0,0.13896579,63741
1010,59.0,0.139524883,64375
1020,59.0,0.140079224,64989
1030,60.0,0.140646271,65628
1040,60.0,0.141208867,66260
1050,60.0,0.141754664,66885
1060,61.0,0.142474433,67507
1070,61.0,0.143767108,68122
1080,61.0,0.144894062,68762
1090,61.0,0.14604222,69381
1100,62.0,0.147037502,70013
1110,60.0,0.148272678,70654
1120,61.0,0.149488747,71272
1130,62.0,0.150944684,71912
1140,61.0,0.152253977,72544
1150,63.0,0.152805014,73171
1160,63.0,0.153373985,73795
1170,63.0,0.15393266,74428
1180,62.0,0.154506693,75056
1190,62.0,0.155080855,75698
1200,62.0,0.155704093,76326
1210,62.0,0.156278612,76957
1220,62.0,0.156853826,77580
1230,61.0,0.157415084,78213
1240,61.0,0.158787778,78852
1250,60.0,0.159942627,79481
1260,60.0,0.16109997,80107
1270,62.0,0.162269663,80727
1280,62.0,0.163459675,81347
1290,61.0,0.16473194,81971
1300,62.0,0.165332098,82603
1310,63.0,0.165913327,83224
1320,63.0,0.166496696,83866
1330,66.0,0.168336011,84491
1340,64.0,0.16918668,85126
