iterations,fitness,time,fevals
0,22.0,0.081331098,1000
10,26.0,0.170304066,2100
20,32.0,0.244117337,3200
30,40.0,0.310806094,4300
40,45.0,0.375633335,5400
50,45.0,0.441160216,6500
60,45.0,0.50408632,7600
70,46.0,0.566889087,8700
80,50.0,0.629934969,9800
90,49.0,0.697489265,10900
100,48.0,0.757861584,12000
110,53.0,0.819567373,13100
120,50.0,0.883533363,14200
130,50.0,0.950911924,15300
140,49.0,1.018152618,16400
150,50.0,1.080386786,17500
160,55.0,1.144487954,18600
170,52.0,1.209996452,19700
180,56.0,1.274286047,20800
190,51.0,1.33562052,21900
200,53.0,1.397200932,23000
210,54.0,1.460978707,24100
220,57.0,1.520772193,25200
230,56.0,1.581857008,26300
240,53.0,1.641798977,27400
250,54.0,1.701314034,28500
260,52.0,1.760323376,29600
270,55.0,1.822325608,30700
280,54.0,1.882621559,31800
290,52.0,1.946537155,32900
300,55.0,2.007030559,34000
310,54.0,2.067160704,35100
320,52.0,2.127563604,36200
330,54.0,2.19167352,37300
340,54.0,2.250641283,38400
350,56.0,2.308061257,39500
360,53.0,2.363240513,40600
370,54.0,2.420178289,41700
380,51.0,2.474425116,42800
390,55.0,2.529163425,43900
400,55.0,2.583984482,45000
410,54.0,2.639432957,46100
420,54.0,2.693470791,47200
430,52.0,2.746758117,48300
440,52.0,2.802515587,49400
450,53.0,2.855965901,50500
460,58.0,2.909140269,51600
470,54.0,2.964722424,52700
480,54.0,3.02003691,53800
490,56.0,3.076490291,54900
500,56.0,3.134198361,56000
510,53.0,3.189296889,57100
520,55.0,3.245390285,58200
530,58.0,3.304202532,59300
540,55.0,3.369318243,60400
550,54.0,3.428464051,61500
560,54.0,3.488749005,62600
570,57.0,3.549571505,63700
580,55.0,3.609514569,64800
590,54.0,3.67224128,65900
600,53.0,3.737732202,67000
610,53.0,3.807363673,68100
620,54.0,3.8882589,69200
630,52.0,3.952280588,70300
640,55.0,4.013407632,71400
650,56.0,4.073634417,72500
660,54.0,4.135351621,73600
670,53.0,4.192609451,74700
680,53.0,4.249683015,75800
690,55.0,4.304854905,76900
700,54.0,4.368915261,78000
710,54.0,4.425291567,79100
720,53.0,4.481830275,80200
730,53.0,4.538148404,81300
740,54.0,4.594831635,82400
750,54.0,4.649416515,83500
760,51.0,4.707478344,84600
770,56.0,4.766610255,85700
780,53.0,4.827761292,86800
790,55.0,4.890832174,87900
800,53.0,4.954946809,89000
810,53.0,5.017126149,90100
820,54.0,5.088274273,91200
830,54.0,5.150472886,92300
840,55.0,5.210495457,93400
850,56.0,5.271704432,94500
860,56.0,5.338596748,95600
870,52.0,5.402663653,96700
880,54.0,5.46362706,97800
890,54.0,5.52522361,98900
900,51.0,5.589272675,100000
910,54.0,5.652611346,101100
920,55.0,5.714493238,102200
930,53.0,5.774753312,103300
940,54.0,5.839935154,104400
950,52.0,5.902739227,105500
960,51.0,5.966070193,106600
970,51.0,6.031117618,107700
980,53.0,6.095914883,108800
990,53.0,6.179355611,109900
1000,55.0,6.252634801,111000
1010,54.0,6.315878318,112100
1020,52.0,6.372868069,113200
1030,55.0,6.436407834,114300
1040,56.0,6.490817728,115400
1050,56.0,6.549570139,116500
1060,55.0,6.611949054,117600
1070,54.0,6.700446085,118700
1080,55.0,6.760260174,119800
1090,53.0,6.819461516,120900
1100,54.0,6.884876404,122000
1110,56.0,6.9486513,123100
1120,54.0,7.028995096,124200
1130,54.0,7.107881646,125300
1140,55.0,7.18308661,126400
1150,54.0,7.241487294,127500
1160,56.0,7.296875574,128600
1170,55.0,7.351673217,129700
1180,55.0,7.41277081,130800
1190,58.0,7.497463045,131900
1200,58.0,7.569248811,133000
1210,53.0,7.632620945,134100
1220,56.0,7.697936441,135200
1230,54.0,7.755239249,136300
1240,57.0,7.812360376,137400
1250,55.0,7.867104616,138500
1260,54.0,7.921473209,139600
1270,56.0,7.98235397,140700
1280,55.0,8.062605057,141800
1290,56.0,8.147640456,142900
1300,54.0,8.210074504,144000
1310,54.0,8.2688664,145100
1320,53.0,8.323585704,146200
1330,56.0,8.382332354,147300
1340,55.0,8.43653874,148400
1350,58.0,8.50367627,149500
1360,55.0,8.557974708,150600
1370,54.0,8.612203727,151700
1380,55.0,8.666769486,152800
1390,58.0,8.722964688,153900
1400,54.0,8.777945926,155000
1410,56.0,8.833094258,156100
1420,56.0,8.888084506,157200
1430,56.0,8.943425308,158300
1440,55.0,8.997805427,159400
1450,55.0,9.057057994,160500
1460,55.0,9.121085617,161600
1470,55.0,9.179076144,162700
1480,55.0,9.242274019,163800
1490,57.0,9.297965246,164900
1500,56.0,9.357502154,166000
1510,55.0,9.412633596,167100
1520,57.0,9.472257182,168200
1530,54.0,9.525685358,169300
1540,56.0,9.579241856,170400
1550,54.0,9.633705558,171500
1560,55.0,9.692222589,172600
1570,58.0,9.748492079,173700
1580,55.0,9.803086942,174800
1590,57.0,9.861613121,175900
1600,52.0,9.917537203,177000
1610,57.0,9.971007952,178100
1620,55.0,10.024406417,179200
1630,58.0,10.08135484,180300
1640,54.0,10.157880238,181400
1650,53.0,10.242281186,182500
1660,56.0,10.309320856,183600
1670,56.0,10.369064948,184700
1680,56.0,10.427667212,185800
1690,55.0,10.482830834,186900
1700,58.0,10.538429183,188000
1710,56.0,10.597623278,189100
1720,56.0,10.660858384,190200
1730,55.0,10.724285658,191300
1740,57.0,10.78483353,192400
1750,52.0,10.849982299,193500
1760,56.0,10.917553405,194600
1770,59.0,10.980329365,195700
1780,59.0,11.041624614,196800
1790,60.0,11.103391391,197900
1800,59.0,11.163985014,199000
1810,62.0,11.226906251,200100
1820,61.0,11.286756343,201200
1830,61.0,11.351871724,202300
1840,60.0,11.417322543,203400
1850,61.0,11.475976538,204500
1860,60.0,11.538939403,205600
1870,61.0,11.599960471,206700
1880,59.0,11.660897458,207800
1890,62.0,11.720366628,208900
1900,65.0,11.779048153,210000
1910,61.0,11.835210975,211100
1920,61.0,11.894387531,212200
1930,61.0,11.95190854,213300
1940,59.0,12.012155744,214400
1950,61.0,12.07163185,215500
1960,61.0,12.130404732,216600
1970,59.0,12.193524773,217700
1980,60.0,12.264168489,218800
1990,62.0,12.329774989,219900
2000,60.0,12.393738735,221000
2010,59.0,12.467847054,222100
2020,58.0,12.536340099,223200
2030,61.0,12.604609306,224300
2040,63.0,12.668814856,225400
2050,59.0,12.740007662,226500
2060,63.0,12.800612795,227600
2070,62.0,12.863281049,228700
2080,62.0,12.932633643,229800
2090,62.0,13.022164149,230900
2100,59.0,13.090925917,232000
2110,74.0,13.154825401,233100
2120,65.0,13.220249804,234200
2130,65.0,13.283882135,235300
2140,65.0,13.347328796,236400
2150,76.0,13.403884421,237500
2160,76.0,13.466956669,238600
2170,76.0,13.524986292,239700
2180,76.0,13.591562622,240800
2190,64.0,13.65775029,241900
2200,63.0,13.71622967,243000
2210,64.0,13.774519488,244100
2220,68.0,13.833270925,245200
2230,76.0,13.901784876,246300
2240,66.0,13.968380321,247400
2250,64.0,14.029416762,248500
2260,64.0,14.090710879,249600
2270,68.0,14.147973422,250700
2280,75.0,14.217449336,251800
2290,75.0,14.280353936,252900
2300,62.0,14.335806701,254000
2310,75.0,14.389840488,255100
2320,72.0,14.444588999,256200
2330,70.0,14.500713754,257300
2340,65.0,14.555582456,258400
2350,66.0,14.613400144,259500
2360,64.0,14.677788052,260600
2370,62.0,14.737616551,261700
