iterations,fitness,time,fevals
0,12.0,0.008595569,11
10,16.0,0.008994803,21
20,16.0,0.009564222,31
30,16.0,0.009832312,41
40,16.0,0.010079016,51
50,17.0,0.010317672,61
60,17.0,0.010567032,71
70,17.0,0.010816786,81
80,17.0,0.011061477,91
90,17.0,0.011697174,101
100,19.0,0.011981595,111
110,19.0,0.012236803,121
120,20.0,0.012499279,131
130,20.0,0.012806625,141
140,21.0,0.012961761,151
150,21.0,0.013906416,161
160,21.0,0.014078813,171
170,21.0,0.014256556,181
180,21.0,0.014373578,191
190,21.0,0.014466071,201
200,21.0,0.014545427,211
210,21.0,0.01464915,221
220,21.0,0.014766329,231
230,21.0,0.014866544,241
240,21.0,0.014974901,251
250,21.0,0.015068156,261
260,21.0,0.015152363,271
270,21.0,0.015435994,281
280,21.0,0.015662933,291
290,21.0,0.015843197,301
300,21.0,0.016041616,311
310,21.0,0.016536082,321
320,21.0,0.016744794,331
330,21.0,0.016849842,341
340,21.0,0.017143504,351
350,21.0,0.017238214,361
360,21.0,0.017336724,371
370,21.0,0.017416445,381
380,21.0,0.017500695,391
390,21.0,0.017578153,401
400,21.0,0.0176911,411
410,21.0,0.01778274,421
420,21.0,0.017859043,431
430,21.0,0.017938544,441
440,21.0,0.01801373,451
450,21.0,0.01808577,461
460,21.0,0.018162187,471
470,21.0,0.018237488,481
480,21.0,0.018312133,491
490,25.0,0.018436265,501
500,25.0,0.018557445,511
510,25.0,0.018766052,521
520,25.0,0.018886156,531
530,25.0,0.019021109,541
540,25.0,0.019210302,551
550,25.0,0.019390097,561
560,25.0,0.019545837,571
570,26.0,0.019714075,581
580,26.0,0.019821814,591
590,26.0,0.020045038,601
600,27.0,0.020155998,611
610,27.0,0.020246121,621
620,28.0,0.020465167,631
630,28.0,0.02060522,641
640,28.0,0.020700322,651
650,28.0,0.020807144,661
660,28.0,0.020933613,671
670,28.0,0.021001095,681
680,28.0,0.021063919,691
690,28.0,0.021137278,701
700,28.0,0.021206392,711
710,28.0,0.021285923,721
720,28.0,0.02136749,731
730,28.0,0.021473409,741
740,28.0,0.021578463,751
750,28.0,0.021677245,761
760,28.0,0.021779909,771
770,28.0,0.021875995,781
780,28.0,0.021983933,791
790,28.0,0.022072178,801
800,28.0,0.022191536,811
810,28.0,0.022447836,821
820,28.0,0.022630054,831
830,28.0,0.022728512,841
840,28.0,0.022802024,851
850,28.0,0.022876667,861
860,28.0,0.023020649,871
870,28.0,0.023089353,881
880,28.0,0.023155087,891
890,28.0,0.023217655,901
900,28.0,0.023324719,911
910,28.0,0.023548751,921
920,28.0,0.023618075,931
930,28.0,0.023731734,941
940,28.0,0.023792161,951
950,28.0,0.02389683,961
960,28.0,0.023956207,971
970,28.0,0.024015643,981
980,28.0,0.024071954,991
990,28.0,0.024299772,1001
1000,28.0,0.024410067,1011
1010,28.0,0.024604875,1021
1020,28.0,0.024758308,1031
1030,28.0,0.024839663,1041
1040,28.0,0.024926182,1051
1050,29.0,0.025002766,1061
1060,29.0,0.025147181,1071
1070,29.0,0.025221331,1081
1080,29.0,0.025343185,1091
1090,29.0,0.025516383,1101
1100,29.0,0.025689347,1111
1110,30.0,0.025786637,1121
1120,30.0,0.02586746,1131
1130,30.0,0.025934432,1141
1140,30.0,0.02614903,1151
1150,30.0,0.02620896,1161
1160,30.0,0.026272063,1171
1170,30.0,0.026376514,1181
1180,30.0,0.026438201,1191
1190,30.0,0.026497156,1201
1200,30.0,0.02657901,1211
1210,31.0,0.026674841,1221
1220,31.0,0.026732842,1231
1230,31.0,0.026792022,1241
1240,31.0,0.026870685,1251
1250,31.0,0.026978804,1261
1260,31.0,0.027041472,1271
1270,31.0,0.027103953,1281
1280,33.0,0.027173144,1291
1290,33.0,0.027251558,1301
1300,33.0,0.027314365,1311
1310,34.0,0.027375826,1321
1320,34.0,0.027440721,1331
1330,34.0,0.027496243,1341
1340,34.0,0.027561876,1351
1350,34.0,0.027619651,1361
1360,34.0,0.02768199,1371
1370,34.0,0.027738842,1381
1380,34.0,0.027839756,1391
1390,34.0,0.027929828,1401
1400,34.0,0.028023346,1411
1410,34.0,0.028097929,1421
1420,34.0,0.028175764,1431
1430,34.0,0.028260488,1441
1440,34.0,0.028327631,1451
1450,34.0,0.028401147,1461
1460,34.0,0.028474207,1471
1470,34.0,0.028610135,1481
1480,34.0,0.028818946,1491
1490,34.0,0.028886358,1501
1500,34.0,0.028961233,1511
1510,34.0,0.029025951,1521
1520,34.0,0.029088922,1531
1530,34.0,0.029176614,1541
1540,34.0,0.029236811,1551
1550,34.0,0.029298875,1561
1560,34.0,0.029354234,1571
1570,34.0,0.029408457,1581
1580,34.0,0.029489916,1591
1590,34.0,0.029556016,1601
1600,34.0,0.029618258,1611
1610,34.0,0.029681171,1621
1620,34.0,0.029741765,1631
1630,35.0,0.029799389,1641
1640,35.0,0.029863741,1651
1650,36.0,0.029923094,1661
1660,36.0,0.029985025,1671
1670,36.0,0.030064589,1681
1680,36.0,0.030152267,1691
1690,36.0,0.030227464,1701
1700,37.0,0.030284363,1711
1710,37.0,0.030340041,1721
1720,37.0,0.030396148,1731
1730,37.0,0.030455144,1741
1740,38.0,0.030512493,1751
1750,40.0,0.030599591,1761
1760,40.0,0.030832358,1771
1770,40.0,0.030934253,1781
1780,40.0,0.031010784,1791
1790,40.0,0.031069725,1801
1800,41.0,0.031130367,1811
1810,41.0,0.031501746,1821
1820,41.0,0.031619086,1831
1830,41.0,0.031729464,1841
1840,41.0,0.031906948,1851
1850,41.0,0.031970889,1861
1860,41.0,0.032029243,1871
1870,41.0,0.032094101,1881
1880,41.0,0.032242899,1891
1890,41.0,0.032293552,1901
1900,41.0,0.032343007,1911
1910,41.0,0.032395567,1921
1920,41.0,0.032479994,1931
1930,41.0,0.032532532,1941
1940,41.0,0.03258839,1951
1950,41.0,0.032640274,1961
1960,41.0,0.032690484,1971
1970,41.0,0.032739986,1981
1980,41.0,0.032789741,1991
1990,41.0,0.032871683,2001
2000,41.0,0.032921335,2011
