iterations,fitness,time,fevals
0,11.0,5.7559e-05,11
10,12.0,8.4311e-05,21
20,13.0,0.000106645,31
30,13.0,0.000130908,41
40,18.0,0.000155462,51
50,20.0,0.000180779,61
60,20.0,0.000203311,71
70,22.0,0.000227892,81
80,22.0,0.000266392,91
90,22.0,0.000298074,101
100,22.0,0.000326265,111
110,22.0,0.000354931,121
120,22.0,0.000383635,131
130,22.0,0.000409504,141
140,22.0,0.00043279,151
150,22.0,0.000455033,161
160,22.0,0.000545917,171
170,22.0,0.000673639,181
180,22.0,0.000704555,191
190,24.0,0.000726057,201
200,25.0,0.000747331,211
210,25.0,0.000767651,221
220,25.0,0.000791337,231
230,25.0,0.000810483,241
240,25.0,0.00082955,251
250,25.0,0.000861823,261
260,25.0,0.000884738,271
270,25.0,0.000903998,281
280,25.0,0.00092298,291
290,25.0,0.000941985,301
300,25.0,0.000961528,311
310,26.0,0.000981436,321
320,26.0,0.001002164,331
330,26.0,0.001021665,341
340,26.0,0.001041708,351
350,27.0,0.001061359,361
360,27.0,0.001084227,371
370,27.0,0.00110285,381
380,27.0,0.001126117,391
390,27.0,0.001148534,401
400,27.0,0.001168131,411
410,27.0,0.001194744,421
420,27.0,0.001215089,431
430,28.0,0.001234121,441
440,28.0,0.001253345,451
450,28.0,0.001272096,461
460,28.0,0.001291693,471
470,28.0,0.001310496,481
480,28.0,0.001330308,491
490,28.0,0.001349952,501
500,28.0,0.001368497,511
510,28.0,0.001406806,521
520,28.0,0.001432006,531
530,28.0,0.001452437,541
540,31.0,0.001472066,551
550,31.0,0.001494095,561
560,31.0,0.001513045,571
570,31.0,0.001532289,581
580,31.0,0.001551671,591
590,31.0,0.001571478,601
600,31.0,0.00159163,611
610,31.0,0.001613237,621
620,31.0,0.001646697,631
630,32.0,0.001661062,641
640,32.0,0.001677839,651
650,32.0,0.00169174,661
660,32.0,0.001706104,671
670,32.0,0.001724056,681
680,32.0,0.001742745,691
690,32.0,0.001757998,701
700,32.0,0.001864439,711
710,32.0,0.001880281,721
720,32.0,0.001897519,731
730,32.0,0.001912193,741
740,32.0,0.001926625,751
750,32.0,0.001988988,761
760,32.0,0.00203416,771
770,32.0,0.002061605,781
780,32.0,0.002081719,791
790,32.0,0.002105306,801
800,32.0,0.002126017,811
810,32.0,0.002143709,821
820,32.0,0.00216172,831
830,32.0,0.002179317,841
840,32.0,0.002196052,851
850,32.0,0.002212506,861
860,32.0,0.002230261,871
870,32.0,0.002246399,881
880,32.0,0.002265022,891
890,32.0,0.002281076,901
900,34.0,0.002297518,911
910,34.0,0.002312863,921
920,35.0,0.002328541,931
930,35.0,0.00234394,941
940,35.0,0.002359337,951
950,35.0,0.002373574,961
960,35.0,0.002387798,971
970,35.0,0.002402042,981
980,35.0,0.002417539,991
990,35.0,0.002433696,1001
1000,35.0,0.002447947,1011
1010,35.0,0.002461371,1021
1020,35.0,0.00247508,1031
1030,35.0,0.00248953,1041
1040,35.0,0.002503403,1051
1050,35.0,0.00251775,1061
1060,35.0,0.002531886,1071
1070,35.0,0.002545925,1081
1080,35.0,0.002560156,1091
1090,35.0,0.002573684,1101
1100,35.0,0.002587118,1111
1110,35.0,0.00260109,1121
1120,35.0,0.002614772,1131
1130,35.0,0.002630245,1141
1140,35.0,0.002643542,1151
1150,35.0,0.002657195,1161
1160,35.0,0.002670439,1171
1170,35.0,0.002684163,1181
1180,36.0,0.00269874,1191
1190,36.0,0.002731358,1201
1200,36.0,0.002745966,1211
1210,36.0,0.002759921,1221
1220,39.0,0.002774003,1231
1230,39.0,0.00279013,1241
1240,39.0,0.00280389,1251
1250,39.0,0.002819067,1261
1260,39.0,0.002834619,1271
1270,39.0,0.002848507,1281
1280,39.0,0.002894628,1291
1290,39.0,0.002917352,1301
1300,39.0,0.002956258,1311
1310,39.0,0.003009476,1321
1320,39.0,0.003172193,1331
1330,39.0,0.003364107,1341
1340,39.0,0.003436262,1351
1350,39.0,0.003478801,1361
1360,39.0,0.003543505,1371
1370,39.0,0.003572085,1381
1380,39.0,0.003597976,1391
1390,39.0,0.00361658,1401
1400,39.0,0.003676668,1411
1410,39.0,0.003695264,1421
1420,39.0,0.00371199,1431
1430,39.0,0.003730099,1441
1440,39.0,0.003773019,1451
1450,39.0,0.00380694,1461
1460,39.0,0.003841373,1471
1470,39.0,0.003874069,1481
1480,39.0,0.003910491,1491
1490,39.0,0.003945843,1501
1500,39.0,0.003975286,1511
1510,39.0,0.004010266,1521
1520,39.0,0.004028094,1531
1530,39.0,0.004049128,1541
1540,39.0,0.004069036,1551
1550,39.0,0.004087816,1561
1560,39.0,0.004107454,1571
1570,39.0,0.004124621,1581
1580,39.0,0.004142593,1591
1590,39.0,0.004166715,1601
1600,39.0,0.004187394,1611
1610,39.0,0.004205035,1621
1620,39.0,0.004226837,1631
1630,39.0,0.004246102,1641
1640,39.0,0.004269475,1651
1650,39.0,0.004287901,1661
1660,39.0,0.004301997,1671
1670,39.0,0.004315393,1681
1680,39.0,0.004327987,1691
1690,39.0,0.004341075,1701
1700,39.0,0.004354016,1711
1710,39.0,0.004365942,1721
1720,39.0,0.004445917,1731
1730,39.0,0.004468443,1741
1740,39.0,0.004487194,1751
1750,39.0,0.00450194,1761
1760,39.0,0.004515431,1771
1770,39.0,0.004532079,1781
1780,39.0,0.004545276,1791
1790,39.0,0.004559047,1801
1800,41.0,0.004573421,1811
1810,41.0,0.004586259,1821
1820,41.0,0.004598995,1831
1830,41.0,0.004620297,1841
1840,41.0,0.004632801,1851
1850,41.0,0.004645645,1861
1860,41.0,0.004658943,1871
1870,41.0,0.004671569,1881
1880,41.0,0.004684761,1891
1890,41.0,0.00469744,1901
1900,42.0,0.004710156,1911
1910,42.0,0.004722805,1921
1920,42.0,0.004735211,1931
1930,43.0,0.004748622,1941
1940,43.0,0.004761694,1951
1950,43.0,0.004774407,1961
1960,43.0,0.004787214,1971
1970,43.0,0.004800245,1981
1980,43.0,0.00481267,1991
1990,43.0,0.004843722,2001
2000,43.0,0.004856296,2011
2010,43.0,0.00486913,2021
2020,43.0,0.004881303,2031
2030,43.0,0.004896206,2041
2040,43.0,0.004908472,2051
2050,43.0,0.004920809,2061
2060,43.0,0.004933402,2071
2070,43.0,0.004945811,2081
2080,43.0,0.004958155,2091
2090,43.0,0.00497062,2101
2100,43.0,0.004983659,2111
2110,43.0,0.004996727,2121
2120,43.0,0.005009937,2131
2130,43.0,0.005022529,2141
2140,43.0,0.005034826,2151
2150,43.0,0.005046914,2161
2160,43.0,0.005059896,2171
2170,43.0,0.005072793,2181
2180,43.0,0.005085545,2191
2190,43.0,0.005097644,2201
2200,43.0,0.005110486,2211
2210,43.0,0.005123779,2221
2220,43.0,0.005136385,2231
2230,43.0,0.005161256,2241
2240,43.0,0.005178129,2251
2250,43.0,0.005196553,2261
2260,43.0,0.005212777,2271
2270,43.0,0.005233168,2281
2280,43.0,0.005251509,2291
2290,43.0,0.005268729,2301
2300,43.0,0.005452554,2311
2310,43.0,0.005467393,2321
2320,43.0,0.005481725,2331
2330,43.0,0.005551128,2341
2340,43.0,0.005608764,2351
2350,43.0,0.005668829,2361
2360,43.0,0.005693618,2371
2370,43.0,0.005717343,2381
2380,43.0,0.00575043,2391
2390,43.0,0.005775345,2401
2400,43.0,0.005798681,2411
2410,43.0,0.00581669,2421
2420,43.0,0.005836241,2431
2430,43.0,0.00585312,2441
2440,43.0,0.005875011,2451
2450,43.0,0.005894204,2461
2460,43.0,0.005913592,2471
2470,43.0,0.006150589,2481
2480,43.0,0.006167018,2491
2490,43.0,0.00618098,2501
2500,43.0,0.006194936,2511
2510,43.0,0.006208636,2521
2520,43.0,0.006221744,2531
2530,43.0,0.006235949,2541
2540,43.0,0.0062487,2551
2550,43.0,0.006263953,2561
2560,43.0,0.006279084,2571
2570,43.0,0.006292722,2581
2580,43.0,0.00630567,2591
2590,43.0,0.006328404,2601
2600,43.0,0.00634252,2611
2610,43.0,0.006362979,2621
2620,43.0,0.006377534,2631
2630,43.0,0.006391245,2641
2640,43.0,0.006410194,2651
2650,43.0,0.006427856,2661
2660,43.0,0.006450226,2671
2670,43.0,0.006464564,2681
2680,43.0,0.006482037,2691
2690,43.0,0.006495377,2701
2700,43.0,0.00650907,2711
2710,43.0,0.00652481,2721
2720,43.0,0.006544138,2731
2730,43.0,0.006565439,2741
2740,43.0,0.006587157,2751
2750,43.0,0.006603132,2761
2760,43.0,0.006616284,2771
2770,43.0,0.006629534,2781
2780,43.0,0.006643315,2791
2790,45.0,0.006656333,2801
2800,49.0,0.006670435,2811
2810,49.0,0.006685557,2821
2820,50.0,0.006712006,2831
2830,50.0,0.006730817,2841
2840,50.0,0.006750285,2851
2850,50.0,0.006773262,2861
2860,52.0,0.006802167,2871
2870,52.0,0.006815006,2881
2880,52.0,0.006829006,2891
2890,52.0,0.00684351,2901
2900,53.0,0.006857299,2911
2910,53.0,0.006871603,2921
2920,54.0,0.006884593,2931
2930,54.0,0.00689711,2941
2940,55.0,0.006909717,2951
2950,55.0,0.006924068,2961
2960,56.0,0.007387397,2971
2970,56.0,0.007420786,2981
2980,56.0,0.007452274,2991
2990,57.0,0.007482439,3001
3000,57.0,0.00751313,3011
3010,57.0,0.007542178,3021
3020,57.0,0.007563986,3031
3030,57.0,0.007674856,3041
3040,57.0,0.00768947,3051
3050,57.0,0.007702041,3061
3060,57.0,0.007714438,3071
3070,58.0,0.007726546,3081
3080,59.0,0.007739245,3091
3090,60.0,0.007750764,3101
3100,60.0,0.007762158,3111
3110,60.0,0.007774104,3121
3120,60.0,0.007785783,3131
3130,60.0,0.00779712,3141
3140,61.0,0.007808557,3151
3150,61.0,0.007819905,3161
3160,61.0,0.007831887,3171
3170,61.0,0.007843479,3181
3180,61.0,0.007855655,3191
3190,62.0,0.007867322,3201
3200,62.0,0.007878477,3211
3210,62.0,0.007889641,3221
3220,62.0,0.007900973,3231
3230,62.0,0.007912496,3241
3240,63.0,0.007924128,3251
3250,68.0,0.007936141,3261
3260,68.0,0.007948414,3271
3270,68.0,0.007960006,3281
3280,68.0,0.007972227,3291
3290,69.0,0.007984078,3301
3300,69.0,0.007995518,3311
3310,69.0,0.008007199,3321
3320,69.0,0.008022419,3331
3330,70.0,0.008033755,3341
3340,70.0,0.00804534,3351
3350,70.0,0.008056349,3361
3360,70.0,0.008069032,3371
3370,70.0,0.008081262,3381
3380,70.0,0.00809281,3391
3390,70.0,0.00810418,3401
3400,71.0,0.008116855,3411
3410,71.0,0.008129239,3421
3420,71.0,0.008141706,3431
3430,71.0,0.008152995,3441
3440,71.0,0.008164676,3451
3450,71.0,0.0081761,3461
3460,71.0,0.008187428,3471
3470,71.0,0.008200743,3481
3480,71.0,0.00821201,3491
3490,71.0,0.008223303,3501
3500,71.0,0.008235474,3511
3510,71.0,0.008247018,3521
3520,71.0,0.008258606,3531
3530,71.0,0.008270304,3541
3540,71.0,0.008281771,3551
3550,71.0,0.008292874,3561
3560,71.0,0.008304456,3571
3570,71.0,0.008316245,3581
3580,71.0,0.008329789,3591
3590,71.0,0.008340756,3601
3600,71.0,0.008351784,3611
3610,71.0,0.008363299,3621
3620,72.0,0.008374563,3631
3630,73.0,0.008385927,3641
3640,73.0,0.008397385,3651
3650,73.0,0.00840865,3661
3660,73.0,0.008420282,3671
3670,73.0,0.008431103,3681
3680,73.0,0.008442654,3691
3690,73.0,0.008456285,3701
3700,73.0,0.008467329,3711
3710,73.0,0.008483006,3721
3720,77.0,0.008495662,3731
3730,77.0,0.008507453,3741
3740,77.0,0.008519178,3751
3750,77.0,0.008530055,3761
3760,77.0,0.008543376,3771
3770,77.0,0.008554796,3781
3780,77.0,0.008566163,3791
3790,77.0,0.008577206,3801
3800,77.0,0.008588261,3811
3810,77.0,0.008599167,3821
3820,77.0,0.008610465,3831
3830,77.0,0.008622171,3841
3840,77.0,0.008632961,3851
3850,78.0,0.008643801,3861
3860,78.0,0.00865492,3871
3870,78.0,0.008665669,3881
3880,78.0,0.008677429,3891
3890,78.0,0.00868884,3901
3900,78.0,0.008700644,3911
3910,78.0,0.008712619,3921
3920,78.0,0.008723652,3931
3930,79.0,0.008735596,3941
3940,79.0,0.008747085,3951
3950,79.0,0.008759419,3961
3960,79.0,0.008770586,3971
3970,79.0,0.00878163,3981
3980,79.0,0.008793875,3991
3990,79.0,0.008805947,4001
4000,79.0,0.008817923,4011
4010,79.0,0.008829471,4021
4020,79.0,0.008840895,4031
4030,79.0,0.008851959,4041
4040,79.0,0.008863637,4051
4050,79.0,0.008874524,4061
4060,79.0,0.008885769,4071
4070,79.0,0.008897504,4081
4080,79.0,0.008909344,4091
4090,80.0,0.008921218,4101
4100,80.0,0.008932943,4111
4110,81.0,0.008945637,4121
4120,81.0,0.008958706,4131
4130,81.0,0.008970207,4141
4140,81.0,0.008981379,4151
4150,81.0,0.008993172,4161
4160,81.0,0.009004455,4171
4170,81.0,0.009015553,4181
4180,82.0,0.009027426,4191
4190,82.0,0.009037963,4201
4200,82.0,0.009050098,4211
4210,82.0,0.009061408,4221
4220,83.0,0.009072578,4231
4230,83.0,0.009083846,4241
4240,83.0,0.00909505,4251
4250,83.0,0.009106912,4261
4260,83.0,0.009118138,4271
4270,83.0,0.009129942,4281
4280,83.0,0.009141288,4291
4290,83.0,0.009152726,4301
4300,83.0,0.009163985,4311
4310,83.0,0.009174747,4321
4320,83.0,0.00918552,4331
4330,84.0,0.009196488,4341
4340,84.0,0.009207634,4351
4350,84.0,0.009224753,4361
4360,84.0,0.009251419,4371
4370,84.0,0.009271192,4381
4380,84.0,0.009294794,4391
4390,84.0,0.009314723,4401
4400,84.0,0.009334278,4411
4410,84.0,0.009350455,4421
4420,84.0,0.009367996,4431
4430,84.0,0.009386643,4441
4440,85.0,0.009403782,4451
4450,85.0,0.009422492,4461
4460,85.0,0.009439885,4471
4470,85.0,0.009454946,4481
4480,85.0,0.009472185,4491
4490,85.0,0.009488671,4501
4500,85.0,0.009504138,4511
4510,85.0,0.00952074,4521
4520,85.0,0.009535835,4531
4530,85.0,0.009551393,4541
4540,85.0,0.009569595,4551
4550,85.0,0.009589742,4561
4560,85.0,0.009604342,4571
4570,85.0,0.009622149,4581
4580,85.0,0.009642279,4591
4590,85.0,0.009658198,4601
4600,85.0,0.009677762,4611
4610,85.0,0.009692767,4621
4620,85.0,0.009710497,4631
4630,85.0,0.009731044,4641
4640,85.0,0.009744237,4651
4650,85.0,0.009764237,4661
