iterations,fitness,time,fevals
0,550.0,0.004218476,742
10,559.0,0.007963167,1368
20,555.0,0.010873017,1999
30,552.0,0.013278475,2630
40,548.0,0.015532594,3248
50,563.0,0.017987189,3876
60,548.0,0.020594971,4502
70,544.0,0.0232507,5134
80,548.0,0.025258275,5760
90,550.0,0.027282517,6393
100,554.0,0.029625156,7022
110,551.0,0.031950177,7658
120,551.0,0.034327138,8288
130,550.0,0.036596836,8921
140,554.0,0.038587274,9541
150,550.0,0.040647557,10177
160,548.0,0.042550373,10810
170,552.0,0.044578398,11437
180,541.0,0.046736377,12062
190,547.0,0.049048401,12690
200,550.0,0.051340313,13316
210,554.0,0.055206212,13943
220,552.0,0.057101272,14572
230,552.0,0.059599058,15195
240,552.0,0.06206524,15821
250,552.0,0.064629024,16449
260,550.0,0.066922565,17083
270,552.0,0.069118626,17709
280,548.0,0.071451453,18341
290,548.0,0.073432545,18973
300,552.0,0.075813444,19603
310,550.0,0.0784587,20224
320,546.0,0.080420121,20853
330,550.0,0.082412056,21490
340,550.0,0.084337477,22112
350,550.0,0.086275965,22749
360,552.0,0.088380096,23390
370,550.0,0.090698033,24025
380,550.0,0.093342282,24649
390,556.0,0.096155269,25295
400,554.0,0.098628608,25930
410,554.0,0.100763344,26565
420,560.0,0.103234745,27204
430,558.0,0.10591028,27823
440,560.0,0.108422299,28452
450,560.0,0.110405323,29089
460,556.0,0.112370621,29699
470,558.0,0.114351079,30333
480,558.0,0.116267262,30968
490,558.0,0.118197252,31593
500,558.0,0.122189053,32214
510,560.0,0.124457204,32842
520,558.0,0.127033879,33486
530,560.0,0.129069527,34114
540,560.0,0.13125656,34735
550,560.0,0.133547552,35354
560,558.0,0.136015158,35988
570,560.0,0.137944539,36604
580,558.0,0.140212982,37245
590,558.0,0.142389429,37869
600,558.0,0.144729918,38488
610,558.0,0.147269015,39126
620,564.0,0.149431635,39761
630,564.0,0.151351274,40391
640,566.0,0.153338376,41028
650,564.0,0.155356332,41656
660,562.0,0.157395265,42283
670,562.0,0.159836561,42917
680,562.0,0.162661598,43556
690,560.0,0.164698834,44193
700,562.0,0.167053988,44835
710,560.0,0.169316331,45462
720,560.0,0.171694529,46101
730,556.0,0.173794184,46720
740,552.0,0.17585972,47340
750,556.0,0.186557262,47976
760,556.0,0.189683157,48607
770,550.0,0.192289928,49239
780,550.0,0.194494119,49859
790,552.0,0.197003194,50488
800,550.0,0.202859803,51131
810,550.0,0.204885221,51760
820,552.0,0.207004725,52384
830,556.0,0.209043067,53018
840,558.0,0.211178001,53651
850,554.0,0.213209018,54282
860,550.0,0.215424858,54909
870,550.0,0.218767753,55545
880,548.0,0.220965061,56177
890,546.0,0.223092158,56802
900,550.0,0.225053097,57441
910,550.0,0.22705528,58067
920,552.0,0.230459671,58710
930,550.0,0.233073505,59334
940,546.0,0.234916857,59954
950,544.0,0.236855351,60582
960,546.0,0.23875894,61229
970,550.0,0.240625115,61858
980,552.0,0.242490853,62495
990,552.0,0.244651377,63127
1000,552.0,0.247371441,63751
1010,550.0,0.249458923,64376
1020,549.0,0.251450626,64994
1030,552.0,0.253245644,65618
1040,549.0,0.255070488,66252
1050,550.0,0.256898545,66884
1060,546.0,0.259127061,67521
1070,550.0,0.262201612,68147
1080,554.0,0.26456324,68775
1090,552.0,0.268052369,69403
1100,550.0,0.270496985,70041
1110,546.0,0.273169219,70666
1120,544.0,0.275691928,71296
1130,546.0,0.277631741,71936
1140,548.0,0.279456102,72572
1150,548.0,0.281469579,73187
1160,550.0,0.283292628,73821
1170,552.0,0.285229941,74451
1180,554.0,0.287064953,75080
1190,550.0,0.289183972,75711
1200,550.0,0.291346807,76349
1210,552.0,0.293607231,76982
1220,550.0,0.295818489,77617
1230,556.0,0.297649448,78262
1240,552.0,0.299870974,78891
1250,550.0,0.302268749,79519
1260,552.0,0.304781368,80156
1270,556.0,0.306642898,80798
1280,554.0,0.308460595,81423
1290,554.0,0.31037341,82040
1300,552.0,0.312269421,82666
1310,552.0,0.314125907,83296
1320,556.0,0.315995917,83930
1330,552.0,0.31787826,84556
1340,554.0,0.320008527,85185
1350,552.0,0.322157974,85823
1360,552.0,0.32462486,86454
1370,554.0,0.326861137,87085
1380,556.0,0.329063158,87709
1390,556.0,0.333288002,88350
1400,552.0,0.335143374,88988
1410,550.0,0.336969134,89610
1420,548.0,0.338818002,90241
1430,550.0,0.340652415,90874
1440,550.0,0.34267842,91494
1450,550.0,0.344515307,92125
1460,552.0,0.346334297,92757
1470,556.0,0.348240946,93379
1480,554.0,0.350518842,94021
1490,554.0,0.352683938,94650
1500,550.0,0.355201307,95270
1510,550.0,0.357463711,95895
1520,550.0,0.359910672,96524
1530,554.0,0.362238424,97155
1540,552.0,0.364197178,97777
1550,552.0,0.366336867,98413
1560,552.0,0.368422824,99035
1570,550.0,0.370637374,99662
1580,552.0,0.372954781,100293
1590,554.0,0.375465284,100925
1600,552.0,0.378921788,101553
1610,556.0,0.38085032,102184
1620,554.0,0.382781673,102818
1630,556.0,0.384895382,103456
1640,554.0,0.387863483,104079
1650,558.0,0.3897692,104714
1660,556.0,0.391655163,105334
1670,552.0,0.393479754,105964
1680,556.0,0.395477061,106595
1690,550.0,0.40180775,107226
1700,548.0,0.405191637,107864
1710,550.0,0.407005197,108491
1720,550.0,0.408859148,109121
1730,550.0,0.410723966,109753
1740,550.0,0.412859868,110386
1750,552.0,0.415720174,111024
1760,554.0,0.417704574,111661
1770,554.0,0.41964349,112284
1780,560.0,0.421586243,112904
1790,554.0,0.42341624,113542
1800,554.0,0.425447156,114170
1810,556.0,0.429215492,114804
1820,556.0,0.432618612,115433
1830,554.0,0.435672402,116065
1840,556.0,0.437600625,116695
1850,558.0,0.439575732,117329
1860,554.0,0.442262466,117959
1870,554.0,0.444235035,118603
1880,550.0,0.446059939,119222
1890,550.0,0.447908481,119858
1900,548.0,0.449723899,120481
1910,554.0,0.451555143,121125
1920,554.0,0.453627856,121750
1930,550.0,0.456956325,122367
1940,548.0,0.46061033,122998
1950,552.0,0.464328114,123622
1960,546.0,0.466689748,124249
1970,548.0,0.46948109,124872
1980,546.0,0.47425096,125507
1990,550.0,0.476101834,126143
2000,548.0,0.477925891,126774
2010,556.0,0.479764911,127402
2020,554.0,0.481692526,128032
2030,550.0,0.483789353,128656
2040,556.0,0.487429089,129276
2050,550.0,0.490871318,129907
2060,550.0,0.493365281,130549
2070,550.0,0.495402753,131187
2080,550.0,0.49801846,131826
2090,550.0,0.500389068,132461
2100,552.0,0.502217268,133090
2110,552.0,0.5040495,133718
2120,552.0,0.505874645,134368
2130,546.0,0.507704431,134994
2140,550.0,0.509623101,135625
2150,548.0,0.511623436,136259
2160,550.0,0.513487757,136900
2170,548.0,0.51545059,137521
2180,548.0,0.518306044,138152
