iterations,fitness,time,fevals
0,556.0,11.895011177,1000
10,600.0,23.964166388,2100
20,637.0,35.910980544,3200
30,680.0,47.475554553,4300
40,712.0,57.203862036,5400
50,722.0,66.283306835,6500
60,733.0,76.58541493,7600
70,737.0,86.346054557,8700
80,741.0,95.742617241,9800
90,741.0,105.498147482,10900
100,741.0,114.362698993,12000
110,743.0,123.077907101,13100
120,741.0,131.514814656,14200
130,739.0,140.243667831,15300
140,743.0,149.18101742,16400
150,741.0,157.640062701,17500
160,741.0,166.274128111,18600
170,741.0,175.03232045,19700
180,743.0,184.070768082,20800
190,741.0,192.536040643,21900
200,741.0,201.372575147,23000
210,741.0,209.739571189,24100
220,741.0,218.67063441,25200
230,743.0,227.874943323,26300
240,743.0,236.381633492,27400
250,739.0,244.951778228,28500
260,741.0,253.391599365,29600
270,741.0,261.979099572,30700
280,739.0,271.034724112,31800
290,739.0,279.921992073,32900
300,741.0,288.550406453,34000
310,741.0,296.653810941,35100
320,739.0,305.74745262,36200
330,741.0,313.980593449,37300
340,741.0,322.332121849,38400
350,741.0,330.520031313,39500
360,743.0,339.094387895,40600
370,741.0,348.350669874,41700
380,741.0,357.209398303,42800
390,741.0,365.974197902,43900
400,741.0,375.057683221,45000
410,741.0,384.393800386,46100
420,743.0,393.41956975,47200
430,743.0,402.073357359,48300
440,741.0,411.785852093,49400
450,741.0,420.477316887,50500
460,741.0,428.788387473,51600
470,745.0,437.618036768,52700
480,743.0,446.562966934,53800
490,741.0,454.875304611,54900
500,743.0,463.037418786,56000
510,741.0,472.21543825,57100
520,745.0,480.567151845,58200
530,743.0,489.838492894,59300
540,743.0,498.523780657,60400
550,743.0,507.228506498,61500
560,743.0,515.932436414,62600
570,743.0,524.849000708,63700
580,743.0,533.698429335,64800
590,743.0,542.946958944,65900
600,743.0,551.703537401,67000
610,741.0,561.087643793,68100
620,743.0,569.33248042,69200
630,741.0,577.619551881,70300
640,745.0,585.816829317,71400
650,743.0,593.90041034,72500
660,743.0,601.968964767,73600
670,745.0,609.949209681,74700
680,743.0,618.069524851,75800
690,745.0,626.157737845,76900
700,745.0,634.241238608,78000
710,745.0,642.275084044,79100
720,745.0,650.947846074,80200
730,745.0,659.203699222,81300
740,745.0,667.513930916,82400
750,747.0,676.528130894,83500
760,743.0,684.756268676,84600
770,743.0,693.767851063,85700
780,745.0,702.405972097,86800
