iterations,fitness,time,fevals
0,526.0,0.002811133,11
10,526.0,0.004176862,21
20,526.0,0.005846522,31
30,528.0,0.007127912,41
40,534.0,0.00836702,51
50,534.0,0.0097601,61
60,536.0,0.010388656,71
70,538.0,0.013647838,81
80,540.0,0.014130289,91
90,540.0,0.014637471,101
100,544.0,0.014992755,111
110,544.0,0.015358484,121
120,548.0,0.015723024,131
130,550.0,0.016215924,141
140,554.0,0.016640272,151
150,560.0,0.020155805,161
160,562.0,0.021085248,171
170,564.0,0.021539397,181
180,570.0,0.021884941,191
190,572.0,0.022078964,201
200,574.0,0.023053393,211
210,574.0,0.023393319,221
220,576.0,0.023681303,231
230,582.0,0.023946557,241
240,582.0,0.024035484,251
250,584.0,0.025090423,261
260,586.0,0.025162443,271
270,586.0,0.025204746,281
280,586.0,0.025281202,291
290,586.0,0.025352376,301
300,590.0,0.025412275,311
310,590.0,0.025458663,321
320,592.0,0.0255379,331
330,594.0,0.025604044,341
340,596.0,0.02565806,351
350,598.0,0.02572689,361
360,602.0,0.025784174,371
370,602.0,0.025851086,381
380,604.0,0.026321636,391
390,606.0,0.026468479,401
400,606.0,0.027878426,411
410,606.0,0.028310345,421
420,606.0,0.02839331,431
430,610.0,0.028478617,441
440,610.0,0.028527691,451
450,610.0,0.02874374,461
460,610.0,0.028796855,471
470,610.0,0.028863933,481
480,610.0,0.028903271,491
490,614.0,0.028954622,501
500,614.0,0.031074543,511
510,616.0,0.031239766,521
520,618.0,0.03136823,531
530,620.0,0.031480132,541
540,624.0,0.031638824,551
550,628.0,0.031705991,561
560,628.0,0.031791718,571
570,628.0,0.031849471,581
580,628.0,0.031888162,591
590,628.0,0.031932741,601
600,628.0,0.031981725,611
610,628.0,0.032043235,621
620,630.0,0.032091946,631
630,634.0,0.032136083,641
640,634.0,0.032293784,651
650,638.0,0.032333812,661
660,638.0,0.032506609,671
670,638.0,0.032554058,681
680,638.0,0.032628879,691
690,646.0,0.032666134,701
700,646.0,0.032701067,711
710,648.0,0.032737581,721
720,648.0,0.032771576,731
730,650.0,0.032803585,741
740,650.0,0.032836893,751
750,652.0,0.032886791,761
760,652.0,0.03292101,771
770,652.0,0.033073096,781
780,654.0,0.033172764,791
790,656.0,0.033259608,801
800,658.0,0.033353728,811
810,658.0,0.033417282,821
820,660.0,0.033473144,831
830,664.0,0.033529425,841
840,664.0,0.03358155,851
850,666.0,0.033645524,861
860,668.0,0.03369614,871
870,668.0,0.03374097,881
880,670.0,0.033790813,891
890,672.0,0.033834945,901
900,672.0,0.033898765,911
910,672.0,0.033931965,921
920,674.0,0.033962634,931
930,674.0,0.033993057,941
940,678.0,0.034024901,951
950,678.0,0.034056491,961
960,680.0,0.034088936,971
970,680.0,0.034119601,981
980,680.0,0.03414985,991
990,680.0,0.034180576,1001
1000,680.0,0.03421378,1011
1010,680.0,0.034260185,1021
1020,680.0,0.034439409,1031
1030,680.0,0.034526136,1041
1040,680.0,0.035941408,1051
1050,680.0,0.035983867,1061
1060,680.0,0.036021563,1071
1070,680.0,0.036055484,1081
1080,682.0,0.03608928,1091
1090,686.0,0.036122999,1101
1100,688.0,0.036166063,1111
1110,690.0,0.036198046,1121
1120,692.0,0.036230041,1131
1130,692.0,0.036262252,1141
1140,694.0,0.036293233,1151
1150,694.0,0.036326116,1161
1160,694.0,0.036357491,1171
1170,694.0,0.036392949,1181
1180,694.0,0.036424939,1191
1190,694.0,0.0364578,1201
1200,694.0,0.036547498,1211
1210,696.0,0.036608978,1221
1220,698.0,0.036648898,1231
1230,698.0,0.03669007,1241
1240,698.0,0.036741828,1251
1250,698.0,0.036770811,1261
1260,698.0,0.03680396,1271
1270,700.0,0.036840134,1281
1280,704.0,0.036872861,1291
1290,704.0,0.036904232,1301
1300,704.0,0.036935,1311
1310,706.0,0.037017876,1321
1320,708.0,0.037084638,1331
1330,708.0,0.037158171,1341
1340,708.0,0.037212609,1351
1350,710.0,0.037271779,1361
1360,710.0,0.037322505,1371
1370,712.0,0.037377332,1381
1380,714.0,0.03744176,1391
1390,716.0,0.037498466,1401
1400,716.0,0.037551393,1411
1410,716.0,0.037662603,1421
1420,716.0,0.037862883,1431
1430,716.0,0.037951826,1441
1440,718.0,0.038013153,1451
1450,722.0,0.038047652,1461
1460,722.0,0.038079158,1471
1470,722.0,0.038150196,1481
1480,722.0,0.038198436,1491
1490,722.0,0.038235954,1501
1500,722.0,0.038324155,1511
1510,724.0,0.038362326,1521
1520,724.0,0.038393805,1531
1530,724.0,0.03843335,1541
1540,724.0,0.038479993,1551
1550,726.0,0.038557239,1561
1560,728.0,0.038622406,1571
1570,728.0,0.038687519,1581
1580,728.0,0.038724303,1591
1590,728.0,0.038902452,1601
1600,728.0,0.038996648,1611
1610,728.0,0.039116962,1621
1620,728.0,0.039174315,1631
1630,728.0,0.039231179,1641
1640,728.0,0.039300197,1651
1650,728.0,0.039334197,1661
1660,728.0,0.03950657,1671
1670,730.0,0.039592896,1681
1680,730.0,0.039661223,1691
1690,730.0,0.03976924,1701
1700,730.0,0.039832292,1711
1710,732.0,0.039871099,1721
1720,732.0,0.03994897,1731
1730,732.0,0.039985639,1741
