iterations,fitness,time,fevals
0,492.0,3.1659e-05,11
10,494.0,5.5837e-05,21
20,490.0,8.0818e-05,31
30,490.0,0.000102741,41
40,490.0,0.000125175,51
50,488.0,0.000147505,61
60,490.0,0.000169818,71
70,492.0,0.000192247,81
80,490.0,0.000216389,91
90,492.0,0.000246271,101
100,494.0,0.000269804,111
110,498.0,0.000292826,121
120,500.0,0.000315497,131
130,502.0,0.000339558,141
140,506.0,0.000364519,151
150,512.0,0.000388305,161
160,512.0,0.000410435,171
170,504.0,0.000432326,181
180,508.0,0.000454317,191
190,508.0,0.000482697,201
200,512.0,0.000507695,211
210,514.0,0.000529483,221
220,510.0,0.000552584,231
230,512.0,0.000576103,241
240,510.0,0.000599417,251
250,510.0,0.000621895,261
260,518.0,0.000644691,271
270,522.0,0.000666386,281
280,528.0,0.000689689,291
290,528.0,0.000714784,301
300,524.0,0.000747805,311
310,526.0,0.000770205,321
320,530.0,0.000792589,331
330,530.0,0.000815038,341
340,532.0,0.000837677,351
350,534.0,0.000886948,361
360,534.0,0.000909073,371
370,534.0,0.000931607,381
380,538.0,0.000954385,391
390,538.0,0.000975121000001,401
400,534.0,0.001011749,411
410,534.0,0.001034293,421
420,534.0,0.001056368,431
430,536.0,0.001078793,441
440,542.0,0.001102958,451
450,546.0,0.001126438,461
460,548.0,0.001151598,471
470,558.0,0.00117423,481
480,558.0,0.001197142,491
490,560.0,0.001218252,501
500,564.0,0.001242147,511
510,566.0,0.001271248,521
520,568.0,0.001294022,531
530,568.0,0.001315368,541
540,570.0,0.001339461,551
550,570.0,0.001364077,561
560,570.0,0.001389294,571
570,570.0,0.001411063,581
580,572.0,0.001435264,591
590,574.0,0.001457428,601
600,574.0,0.001479019,611
610,574.0,0.001525937,621
620,574.0,0.00158088,631
630,574.0,0.001629397,641
640,576.0,0.001710895,651
650,576.0,0.001766426,661
660,576.0,0.001803426,671
670,578.0,0.001852367,681
680,582.0,0.001899715,691
690,584.0,0.001945573,701
700,584.0,0.0019962,711
710,588.0,0.002051073,721
720,588.0,0.00211338,731
730,592.0,0.002159331,741
740,592.0,0.002215341,751
750,594.0,0.002254335,761
760,594.0,0.00229114,771
770,594.0,0.002340801,781
780,598.0,0.002381575,791
790,598.0,0.002420287,801
800,600.0,0.00245694,811
810,600.0,0.002488767,821
820,600.0,0.002543687,831
830,600.0,0.00258472,841
840,600.0,0.002629811,851
850,604.0,0.002656572,861
860,606.0,0.002692073,871
870,608.0,0.002727438,881
880,608.0,0.002764493,891
890,608.0,0.002806675,901
900,610.0,0.002842488,911
910,612.0,0.00288021,921
920,614.0,0.002921375,931
930,614.0,0.002965019,941
940,614.0,0.003007316,951
950,614.0,0.003044702,961
960,616.0,0.003084394,971
970,616.0,0.003119767,981
980,618.0,0.003169693,991
990,622.0,0.003213288,1001
1000,626.0,0.003253392,1011
1010,628.0,0.003291453,1021
1020,628.0,0.003338952,1031
1030,628.0,0.003406106,1041
1040,632.0,0.003444515,1051
1050,632.0,0.003491625,1061
1060,632.0,0.003539427,1071
1070,632.0,0.00358895,1081
1080,634.0,0.003639555,1091
1090,638.0,0.003664435,1101
1100,638.0,0.003688738,1111
1110,638.0,0.003712867,1121
1120,642.0,0.003735238,1131
1130,646.0,0.003759617,1141
1140,646.0,0.003789477,1151
1150,646.0,0.003813129,1161
1160,646.0,0.003837057,1171
1170,646.0,0.003860047,1181
1180,647.0,0.00389519,1191
1190,647.0,0.003954176,1201
1200,649.0,0.004015464,1211
1210,651.0,0.004058713,1221
1220,651.0,0.00409618,1231
1230,653.0,0.004119575,1241
1240,653.0,0.004150602,1251
1250,655.0,0.004172762,1261
1260,655.0,0.004196937,1271
1270,655.0,0.004219322,1281
1280,655.0,0.004243707,1291
1290,657.0,0.004267913,1301
1300,657.0,0.004320893,1311
1310,657.0,0.004378108,1321
1320,661.0,0.004438712,1331
