iterations,fitness,time,fevals
0,0.0223418148281,2.237523038,1000
10,0.0219393409918,4.441761334,2100
20,0.0223843071044,6.715814033,3200
30,0.0212926331063,8.946651992,4300
40,0.0234046162968,11.174820512,5400
50,0.0222874961544,13.430511155,6500
60,0.0231616638254,15.69690913,7600
70,0.0210916522481,17.899763937,8700
80,0.0203705795965,20.113192249,9800
90,0.0229977332532,22.349557874,10900
100,0.0232893789735,24.593770481,12000
110,0.0227713780083,26.816821503,13100
120,0.0207522398,29.079390471,14200
130,0.0198947422162,31.346843934,15300
140,0.0211404751765,33.585366337,16400
150,0.0216006378509,35.865736433,17500
160,0.0212423587469,38.076430523,18600
170,0.0218240553563,40.288733422,19700
180,0.0207386296515,42.5002658,20800
190,0.0218997219333,44.729262793,21900
200,0.020892759575,46.953899938,23000
210,0.0213967937799,49.187841231,24100
220,0.022104855838,51.432688825,25200
230,0.0215422712938,53.65348505,26300
240,0.0216572468345,55.889102314,27400
250,0.0220394691062,58.103984058,28500
260,0.0203698278388,60.326423093,29600
270,0.0211661442208,62.548452702,30700
280,0.0222720238429,64.776160158,31800
290,0.0224210600745,67.035875636,32900
300,0.0223101277185,69.23321772,34000
310,0.0218035186194,71.497248725,35100
320,0.0210647776115,73.716740669,36200
330,0.0218968850916,75.913280784,37300
340,0.0215367531409,78.155667279,38400
350,0.021478335796,80.322498225,39500
360,0.0215820990688,82.542974315,40600
370,0.021142485038,84.754705002,41700
380,0.0200972735066,86.980926888,42800
390,0.0223501619444,89.18214858,43900
400,0.0210738912628,91.444746408,45000
410,0.0213033123623,93.698574542,46100
420,0.0209201987439,95.936395549,47200
430,0.0215692594564,98.164614597,48300
440,0.0206634785889,100.383253908,49400
450,0.0219749042549,102.58636579,50500
460,0.0214816459709,104.816826743,51600
470,0.0214347528595,107.041104899,52700
480,0.0221668177307,109.288532925,53800
490,0.0215605377696,111.485078279,54900
500,0.0239480055916,113.700051058,56000
510,0.0228830171957,115.88125922,57100
520,0.0213489297707,118.109120324,58200
530,0.0211979114386,120.318144367,59300
540,0.0222777667197,122.524640258,60400
550,0.0219592527128,124.735299595,61500
560,0.0211902219934,126.963884533,62600
570,0.0228908142823,129.16680461,63700
580,0.0224634248737,131.353864564,64800
590,0.0220797260745,133.581997033,65900
600,0.022080424209,135.827084707,67000
610,0.0235224568338,138.027861118,68100
620,0.02244448564,140.195178721,69200
630,0.0225960063677,142.359869943,70300
640,0.0221381189117,144.485763184,71400
650,0.0213225547634,146.684783487,72500
660,0.0229546235331,148.851869282,73600
670,0.0208345768091,151.042648457,74700
680,0.0221615756022,153.214644811,75800
690,0.0231204137172,155.361627274,76900
700,0.0216223033797,157.590010139,78000
710,0.0223717782462,159.793847223,79100
720,0.0208332339641,162.002379644,80200
730,0.0221873833642,164.231443485,81300
740,0.0214102540278,166.439596397,82400
750,0.0224214497837,168.633523851,83500
760,0.0223108457178,170.857272892,84600
770,0.0205065701412,173.053108035,85700
780,0.0216223268991,175.265577468,86800
790,0.0233396836264,177.486242833,87900
800,0.021746125248,179.738652024,89000
810,0.0214179657769,181.953614725,90100
820,0.0214629663481,184.212573309,91200
830,0.0211030230302,186.443224632,92300
840,0.0210106174343,188.677164874,93400
850,0.0232606141557,190.896983733,94500
860,0.0213492242971,193.09734921,95600
870,0.01988363297,195.303195056,96700
880,0.0214900812928,197.520599918,97800
890,0.0219241877595,199.721749795,98900
900,0.0207160419653,201.936035298,100000
910,0.020663978926,204.120659943,101100
920,0.0220879444932,206.371925381,102200
930,0.0211153859732,208.621168654,103300
